case_id,baseline_class,current_class,bucket,attempt,result,pass_delta,root_cause,rescue_action,next_action,artifact_path,notes,recommendation,thinking_analysis
cvdp_copilot_interrupt_controller_0017,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/11; no thinking used,compile_repair_or_agentic,compile_persistent
cvdp_copilot_interrupt_controller_0019,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/6; no thinking used,compile_repair_or_agentic,
cvdp_copilot_manchester_enc_0005,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/4; no thinking used,skip: 仿真不终止+深层FSM问题,unfixable
cvdp_copilot_sequencial_binary_to_one_hot_decoder_0001,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/1; no thinking used,compile_repair_or_agentic,
cvdp_copilot_serial_in_parallel_out_0011,compile_elab,docker_timeout,compile_repair,stage2_compile_focused_remaining,reclassified,0,compile-focused repair changed failure mode from compile/elab to simulation non-termination,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,move to timeout/agentic debug,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,repair attempt 1 timed out after 600s; best 0/0,compile_repair_or_agentic,
cvdp_copilot_sync_serial_communication_0001,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/20; no thinking used,compile_repair_or_agentic,thinking_success
cvdp_copilot_car_parking_management_0015,compile_elab,passed,targeted_sanitizer,stage2_targeted_pilot_car_parking_0015,rescued,+1,prior Stage 2 residual had line-1 naked prose before the real module declaration; updated sanitizer now extracts from the first plausible module declaration and drops prose prefixes,enabled VLLM_SANITIZE_OUTPUT=true plus opt-in targeted repair settings; reran one bounded single-case non-thinking pilot with served model id /data/HF_models/GLM-5.1-FP8,promote line-prefix sanitizer pilot to a small 2-case check including manchester_enc_0005 before applying to residual accounting,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_car_parking_0015_model_path,single-case fresh generation passed 1/1; no thinking used; initial pilot with model alias vllm-glm failed before generation because server served only /data/HF_models/GLM-5.1-FP8,already_rescued,
cvdp_copilot_manchester_enc_0005,compile_elab,docker_timeout,targeted_sanitizer,stage2_targeted_pilot_manchester_enc_0005,reclassified,0,prior Stage 2 residual had a stray standalone module token before the real manchester_encoder declaration; updated sanitizer generated RTL beginning at the real module declaration and harness collected tests,enabled VLLM_SANITIZE_OUTPUT=true plus opt-in targeted repair settings; reran one bounded single-case non-thinking pilot with served model id /data/HF_models/GLM-5.1-FP8,move to timeout/semantic debug; inspect why first manchester_even cocotb test never completes,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_manchester_enc_0005_model_path,single-case fresh generation and repair both timed out at 300s after pytest collected 4 tests; no syntax/compile error observed; no thinking used,skip: 仿真不终止+深层FSM问题,unfixable
cvdp_copilot_bus_arbiter_0004,compile_elab,passed,targeted_module_hint,stage2_targeted_pilot_bus_arbiter_0004,rescued,+1,prior residual had top/module naming mismatch and compile/elab failure; module-name retry got the run into harness and opt-in targeted repair fixed the exact top module expected by harness,enabled VLLM_RETRY_MODULE_NAME_MISMATCH=true and CVDP_REPAIR_TARGETED_HINTS=true with one compile-focused repair attempt,remove from compile/elab residual set; keep exact-top hint as opt-in targeted pattern,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_bus_arbiter_0004_model_path,single-case pilot passed 1/1; final RTL declares module cvdp_copilot_bus_arbiter; no thinking used,already_rescued,
cvdp_copilot_sequencial_binary_to_one_hot_decoder_0001,compile_elab,passed,targeted_module_hint,stage2_targeted_pilot_sequential_decoder_0001,rescued,+1,prior residual was a harness/prompt spelling mismatch: prompt/checker used sequencial while harness invokes binary_to_one_hot_decoder_sequential,added explicit Module Name: binary_to_one_hot_decoder_sequential to the opt-in targeted repair hint so the module-name checker accepts the harness spelling; reran one compile-focused repair attempt,remove from compile/elab residual set; keep harness spelling override opt-in and case-specific,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_sequential_decoder_0001_hint_module_name,first targeted pilot failed because checker forced typo spelling back; corrected hint pilot passed 1/1; final RTL declares module binary_to_one_hot_decoder_sequential; no thinking used,already_rescued,
cvdp_copilot_barrel_shifter_0058,compile_elab,functional,targeted_construct_hint,stage2_targeted_pilot_barrel_shifter_0058,reclassified,0,prior residual used an Icarus-incompatible inside expression; targeted repair generated a buildable design but failed the priority encoder semantic check,enabled CVDP_REPAIR_TARGETED_HINTS=true with Icarus-compatible construct guidance and one compile-focused repair attempt,move to functional near-miss; fix priority encoder loop/early-exit so highest set bit wins,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_barrel_shifter_0058_model_path,repair attempt built and ran but failed Test #7: expected output 5 actual 0; final result rolled back to baseline so report remains failed; no thinking used,thinking_pilot: 已有targeted证据,
cvdp_copilot_gaussian_rounding_div_0005,compile_elab,functional,targeted_multiple_driver_hint,stage2_targeted_pilot_gaussian_rounding_div_0005,reclassified,0,prior residual had multiple-driver compile errors on divider intermediates; targeted run produced buildable RTL but divider output is functionally wrong,enabled CVDP_REPAIR_TARGETED_HINTS=true with single-driver guidance and one compile-focused repair attempt,move to functional divider debug; first check reset polarity/start-valid pipeline and fixed-point scaling because DUT returns 0.0 for 10.0/4.0,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_gaussian_rounding_div_0005_model_path,initial and repair runs both built and ran; 2 tests failed with DUT=0.000000 REF=2.500000 latency=13 cycles; no thinking used,thinking_pilot: 已有targeted证据,compile_persistent
cvdp_copilot_interrupt_controller_0014,compile_elab,functional,targeted_parameter_hint,stage2_targeted_pilot_interrupt_controller_0014,failed,0,initial targeted run built and ran but all interrupt semantics failed; compile-focused repair regressed into compile failures for parameterized builds,enabled CVDP_REPAIR_TARGETED_HINTS=true with parameter/generate guidance and one compile-focused repair attempt,do not continue blind parameter/generate pilots for this family; inspect harness semantics for cpu_interrupt assertion and priority map handling,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_interrupt_controller_0014_model_path,initial 0/6 functional failures: cpu_interrupt stayed 0 while interrupts pending; repair 0/7 with iverilog return codes 5/7; no thinking used,thinking_pilot: 已有targeted证据,compile_persistent
cvdp_copilot_8x3_priority_encoder_0013,compile_elab,passed,targeted_parameter_hint,stage2_targeted_pilot_8x3_priority_encoder_0013,rescued,+1,prior residual used M in port widths before defining it and did not expose harness-passed M as a module parameter,"added a case-specific targeted hint requiring M in the module parameter list, .M(M-1) for half encoders, and no loop-index slicing or lower-priority overwrite",remove from compile/elab residual set,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_8x3_priority_encoder_0013_model_path,"repair attempt 1 improved from 0/6 to 6/6; final passed for N=4,8,16,32,64,128; no thinking used",already_rescued,
cvdp_copilot_hebbian_rule_0017,compile_elab,functional,targeted_top_and_semantic_hint,stage2_targeted_pilot_hebbian_rule_0017,failed_agentic_candidate,0,"prior residual lacked the harness top module hebb_gates; top-module hint converted compile failure into a runnable functional failure, but semantic truth-table hint did not rescue it","added exact hebb_gates top hint, then expanded hint with harness-observed AND/OR/NAND/NOR expected weights and bipolar target truth tables",mark as agentic reasoning potential repair; needs harness-aware RTL rewrite rather than more cheap targeted hints,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_hebbian_rule_0017_semantic_hint,top hint run built and ran but failed AND training w2 expected 2 actual 0; semantic hint run failed the same assertion; no thinking used; candidate for agentic/manual semantic rewrite,thinking_pilot: 已有targeted证据,thinking_success
cvdp_copilot_sync_serial_communication_0001,compile_elab,functional,targeted_top_hint,stage2_targeted_pilot_sync_serial_communication_0001,reclassified,0,prior residual lacked the harness top module sync_serial_communication_tx_rx; exact-top hint converted compile failure into 20 runnable functional failures,added Module Name: sync_serial_communication_tx_rx and required top wrapper/rename guidance,move to semantic serial bit-order repair; likely RX shift direction/order issue because 102 became 82,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_sync_serial_communication_0001_model_path,repair attempt built and ran all 20 tests but failed all; first failure expected 102 got 82; no thinking used,thinking_pilot: 已有targeted证据,thinking_success
cvdp_copilot_fifo_to_axis_0001,compile_elab,functional,targeted_simulator_crash_hint,stage2_targeted_pilot_fifo_to_axis_0001,reclassified,0,prior residual crashed Icarus with exit status 139; targeted cleanup removed the simulator crash but AXI data still contains unknown values during functional test,added plain-parameter/single-driver/handshake guidance to avoid Icarus crash and multiple drivers,move to functional AXI-stream handshake/init repair; ensure o_axi_data is initialized and stable before o_axi_valid/transfer,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_fifo_to_axis_0001_model_path,repair attempt built and ran; failed because cocotb could not convert o_axi_data LogicArray with non-0/1 values; no thinking used,agentic_rewrite: deep FSM timing问题,deep_fsm_timing
cvdp_copilot_elevator_control_0006,compile_elab,compile_elab,targeted_syntax_probe,stage2_targeted_pilot_elevator_control_0006,failed_agentic_candidate,0,true failure is missing companion RTL file floor_to_seven_segment.sv rather than the line-1 syntax issue suspected from high-level report,ran one bounded targeted pilot; sim.log shows /code/rtl/floor_to_seven_segment.sv missing,mark as agentic/multifile repair candidate; single-file repair path cannot create the missing companion file,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_elevator_control_0006_model_path,model output had repeated JSON parse failures before harness; final/repair still failed compile because floor_to_seven_segment.sv not found; no thinking used,thinking_pilot: 已有targeted证据,
cvdp_copilot_axi_register_0001,compile_elab,passed,targeted_axi_protocol_hint,stage2_targeted_pilot_axi_register_0001,rescued,+1,prior compile-focused repair mixed DATA_WIDTH 8/16 compile failures with DATA_WIDTH 32/64 functional failures; root cause was parameter-unsafe read/write widths plus write-channel timing that decoded the old captured address and ignored the first write to 0x100,"added opt-in case-specific hint for simultaneous AW/W acceptance, exact byte-address map, DATA_WIDTH 8/16/32/64-safe beat/ID readback, full-strobe write semantics, partial-write no-op, and done latch clear behavior; reran one bounded non-thinking targeted pilot","remove from compile/elab residual set; count only as post-hoc targeted residual rescue, not baseline model performance",research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_axi_register_0001_model_path,single-case fresh generation passed all 12 parameterized harness items; report shows 1/1 problem passed and cocotb collected 12 items; no thinking used,already_rescued,
cvdp_copilot_elevator_control_0009,compile_elab,functional_or_timeout,targeted_sanitizer_and_semantic_hint,stage2_targeted_pilot_elevator_control_0009,failed_agentic_candidate,0,initial Stage 2 residual was line-1 prose syntax; improved sanitizer converted it into runnable elevator behavior that passed movement and seven-segment checks but failed overload recovery because system_status returned IDLE instead of DOOR_OPEN after overload cleared,"ran sanitizer pilot, then added opt-in semantic hint for overload recovery to DOOR_OPEN and integer DOOR_OPEN_CYCLES; second repair attempt compiled and entered simulation but timed out after requesting floor 3",stop cheap targeted hints; move to agentic/manual semantic debug focused on preserving request latching and door-open recovery without introducing non-termination,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_elevator_control_0009_semantic_hint,sanitizer pilot initial run built and ran 4 harness items with same assertion: expected system_status 4 got 0; repair regressed to compile via DOOR_OPEN_CYCLES real/ifdef issue; semantic-hint repair fixed compile issue but timed out at 300s; no thinking used,thinking_pilot: 已有targeted证据,compile_persistent
cvdp_copilot_elevator_control_0026,compile_elab,compile_elab,targeted_multifile_probe,stage2_targeted_pilot_elevator_control_0026,failed_agentic_candidate,0,"harness compiles elevator_control_system.sv, floor_to_seven_segment.sv, and Binary2BCD.sv; generated workspace contains only elevator_control_system.sv and floor_to_seven_segment.sv, so build fails before simulation",ran one bounded fresh non-thinking pilot with sanitizer and one repair attempt; model repeatedly produced unparsable JSON before harness and repair still did not create Binary2BCD.sv,mark as agentic/multifile repair candidate; current single-file repair loop cannot create the missing companion RTL file,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_elevator_control_0026_model_path,sim.log: /code/rtl/Binary2BCD.sv: No such file or directory; Preprocessor failed with 1 errors; no thinking used,thinking_pilot: 已有targeted证据,compile_persistent
cvdp_copilot_interrupt_controller_0017,compile_elab,functional,targeted_top_and_port_hint,stage2_targeted_pilot_interrupt_controller_0017,failed_reclassified,0,prior residual generated RTL fragment without the interrupt_controller wrapper; targeted exact-top/port hint got repair attempt through compile/elab into cocotb simulation,"added opt-in exact top-module, STARVATION_THRESHOLD parameter, and full harness port list guidance; ran one bounded non-thinking targeted pilot with one compile-focused repair attempt",move to interrupt semantic debug; first failing assertion is interrupt_valid remaining 0 while two interrupts are pending,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_interrupt_controller_0017_model_path,initial run still compile failed because accepted first-pass RTL started inside always block; repair attempt built and ran all 11 parameterized items but failed 0/11 at 195ns; no thinking used,thinking_pilot: 已有targeted证据,compile_persistent
cvdp_copilot_interrupt_controller_0019,compile_elab,functional,compile_repair_evidence,stage2_compile_focused_remaining,failed_reclassified,0,baseline build failed for parameterized NUM_INTERRUPTS APB interrupt-controller configurations; generic repair attempt built and ran cocotb but returned the wrong interrupt_idx priority selection,used existing compile-focused repair artifact instead of launching another blind targeted interrupt-family pilot,move to interrupt semantic/APB debug; fix priority selection so interrupt_idx reports the lowest priority_list index among pending requests within the harness latency window,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,repair attempt 1 ran 7 parameterized items but failed 0/7; first failure Got wrong ID: 0 Expected: 4 at 105ns; no thinking used,compile_repair_or_agentic,
cvdp_copilot_elevator_control_0006,compile_elab,passed,multifile_repair,stage2_multifile_pilot_elevator_control_0006,rescued,+1,prior single-file repair path could not create missing companion RTL floor_to_seven_segment.sv; model multi-file JSON-like output also used unescaped RTL newlines that strict JSON parsing rejected,added opt-in CVDP_REPAIR_MULTIFILE=true and a loose multi-file RTL parser for JSON-like code arrays; reran one bounded non-thinking multifile repair pilot,remove from compile/elab residual set; report separately as opt-in multifile repair infrastructure plus targeted residual rescue,research_outputs/two_stage_thinking_codegen/runs/stage2_multifile_pilot_elevator_control_0006_loose_parse,"initial multi-file output recovered by loose parser; repair attempt 1 wrote elevator_control_system.sv and floor_to_seven_segment.sv and passed 4/4 for N=8,5,9; no thinking used",already_rescued,
cvdp_copilot_elevator_control_0026,compile_elab,docker_timeout,multifile_repair,stage2_multifile_pilot_elevator_control_0026,failed_reclassified,0,"prior single-file path could not create missing Binary2BCD.sv; multifile parser and repair now write all three RTL files and compile/vvp starts, but simulation does not reach floor 3 before timeout",enabled CVDP_REPAIR_MULTIFILE=true and cleaned loose parser to crop each file from module to endmodule; ran one bounded non-thinking multifile pilot and one repair attempt,move to timeout/semantic elevator debug; stop cheap multifile rescue because missing-file issue is solved but request/movement FSM non-terminates,research_outputs/two_stage_thinking_codegen/runs/stage2_multifile_pilot_elevator_control_0026_loose_parse_clean,initial and repair both compile and start cocotb; both time out at 300s after Test case 1 / Requesting floor 3; no thinking used,agentic_or_passk,compile_persistent
cvdp_copilot_elevator_control_0026,docker_timeout,docker_timeout,targeted_semantic_hint,stage2_multifile_pilot_elevator_control_0026_semantic_hints,failed_agentic_candidate,0,after multifile repair the case compiles but still non-terminates before reaching floor 3; generated RTL keeps combinational self-feedback on call_requests_internal and X-sensitive overload logic despite targeted guidance,"added transparent non-golden hints from prompt/harness only: one-cycle request latching, X-safe overload_detected, short simulation door-open count, fast anode cycling, and optional simple FSM rewrite; ran two bounded non-thinking semantic pilots",stop prompt-only cheap rescue; move to agentic/manual semantic rewrite candidate using harness-aware FSM implementation,research_outputs/two_stage_thinking_codegen/runs/stage2_multifile_pilot_elevator_control_0026_fsm_rewrite_hint,semantic_hint and fsm_rewrite_hint both compile and start cocotb but time out at 300s after Test case 1 / Requesting floor 3; repair RTL still contains combinational call_requests_internal self-feedback; no thinking used,thinking_pilot: 已有targeted证据,compile_persistent
cvdp_copilot_barrel_shifter_0058,functional,passed,targeted_priority_encoder_hint,stage2_targeted_pilot_barrel_shifter_0058_priority_hint,rescued,+1,prior targeted run fixed Icarus construct issues but priority encoder mode returned 0 instead of highest set bit index 5 for data_in=0b101011,"expanded opt-in barrel shifter hint with harness-derived priority encoder semantics: output highest set bit index, guard against lower-priority overwrite, zero input returns zero without error",remove from functional residual set; count separately as post-hoc targeted semantic rescue,research_outputs/two_stage_thinking_codegen/runs/stage2_targeted_pilot_barrel_shifter_0058_priority_hint,repair attempt 1 passed both DATA_WIDTH=8/SHIFT_BITS_WIDTH=3 and DATA_WIDTH=32/SHIFT_BITS_WIDTH=5 configurations; 2/2 cocotb summaries passed; no thinking used,already_rescued,
