case_id,category,difficulty,failure_class,failure_class_cn,repair_attempted,repair_rescued,rolled_back_to_best,returned_best,initial_pass,initial_fail,initial_total,best_pass,best_fail,best_total,best_pass_ratio,timed_out,remediation_bucket,rescue_potential,failure_reason,next_action,primary_log,all_logs,error_msg
cvdp_copilot_axi_alu_0001,cid016,medium,docker_timeout,仿真非终止/超时,True,False,True,True,0,0,0,0,0,0,,True,agentic_debug,中等可补救,timeout after partial functional failure: assert 0 == 9,优先 agentic/debug：先定位 RTL 状态机/ready-valid/循环终止条件；不建议简单延长 timeout。可对少量 case 做 thinking/pass@k ablation。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axi_alu/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axi_alu/reports/1.txt,Timed out after 600s
cvdp_copilot_axi_register_0001,cid003,medium,compile_elab,编译/展开失败,True,False,True,True,6,0,6,6,0,6,1.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'axi_register', '-g2012', '-Paxi_register.ADDR_WIDTH=12', '-Paxi_register.DATA_WIDTH=8', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/axi_register.sv']' returned non-zero exit ",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axi_register/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axi_register/reports/1.txt,
cvdp_copilot_axi_stream_upscale_0001,cid003,easy,functional,功能语义失败,True,False,True,True,0,1,1,0,1,1,0.00,False,agentic_or_passk,较难,assert Logic('1') == 0,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axi_stream_upscale/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axi_stream_upscale/reports/1.txt,
cvdp_copilot_axi_tap_0009,cid004,medium,functional,功能语义失败,True,False,True,True,0,20,20,0,20,20,0.00,False,agentic_or_passk,较难,TESTS=1 PASS=0 FAIL=1 SKIP=0,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axi_tap/reports/9.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axi_tap/reports/9.txt,
cvdp_copilot_axis_border_gen_0001,cid002,medium,functional,功能语义失败,True,False,True,True,0,3,3,0,3,3,0.00,False,agentic_or_passk,较难,assert Logic('0') == True,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axis_border_gen/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_axis_border_gen/reports/1.txt,
cvdp_copilot_axis_border_gen_0014,cid002,medium,model_output_rejected,模型输出被前置校验拒绝,False,False,False,False,,,,0,,0,,False,cheap_reprompt,高可补救,"Generated RTL module-name check failed: expected one of ['axis_border_gen_with_resize'], but found modules ['axis_image_border_gen_with_resizer', 'axis_image_resizer']",优先自动补救：增加严格 module-name re-prompt 或允许一次 checker-specific retry；不需要 thinking。,,,"th_prepare: Unable to get response from vLLM model 'vllm-glm' at http://127.0.0.1:30009/v1: Generated RTL module-name check failed: expected one of ['axis_border_gen_with_resize'], but found modules ['axis_image_border_gen_with_resizer', 'axis_image_resizer']"
cvdp_copilot_barrel_shifter_0058,cid004,medium,compile_elab,编译/展开失败,True,False,True,True,0,1,1,0,1,1,0.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'barrel_shifter', '-g2012', '-Pbarrel_shifter.data_width=8', '-Pbarrel_shifter.shift_bits_width=3', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/barrel_shifter.sv']' returned n",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_barrel_shifter/reports/58.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_barrel_shifter/reports/58.txt,
cvdp_copilot_binary_multiplier_0012,cid004,easy,compile_elab,编译/展开失败,True,False,True,True,0,4,4,0,4,4,0.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'binary_multiplier', '-g2012', '-Pbinary_multiplier.WIDTH=25', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/binary_multiplier.sv']' returned non-zero exit status 2.",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_binary_multiplier/reports/12.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_binary_multiplier/reports/12.txt,
cvdp_copilot_binary_search_tree_sorting_0001,cid002,medium,docker_timeout,仿真非终止/超时,True,False,True,True,0,0,0,0,0,0,,True,agentic_debug,中等可补救,entered cocotb/pytest then timed out without completing current test,优先 agentic/debug：先定位 RTL 状态机/ready-valid/循环终止条件；不建议简单延长 timeout。可对少量 case 做 thinking/pass@k ablation。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_binary_search_tree_sorting/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_binary_search_tree_sorting/reports/1.txt,Timed out after 600s
cvdp_copilot_binary_search_tree_sorting_0014,cid002,medium,docker_timeout,仿真非终止/超时,True,False,False,False,0,9,9,3,1,4,0.75,True,agentic_debug,中等可补救,timeout after partial functional failure: assert 5 == 4,优先 agentic/debug：先定位 RTL 状态机/ready-valid/循环终止条件；不建议简单延长 timeout。可对少量 case 做 thinking/pass@k ablation。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_binary_search_tree_sorting/reports/14_repair_2.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_binary_search_tree_sorting/reports/14_repair_2.txt,Timed out after 600s
cvdp_copilot_bus_arbiter_0004,cid004,medium,model_output_rejected,模型输出被前置校验拒绝,False,False,False,False,,,,0,,0,,False,cheap_reprompt,高可补救,"Generated RTL module-name check failed: expected one of ['bus_arbiter'], but found modules ['cvdp_copilot_bus_arbiter']",优先自动补救：增加严格 module-name re-prompt 或允许一次 checker-specific retry；不需要 thinking。,,,"th_prepare: Unable to get response from vLLM model 'vllm-glm' at http://127.0.0.1:30009/v1: Generated RTL module-name check failed: expected one of ['bus_arbiter'], but found modules ['cvdp_copilot_bus_arbiter']"
cvdp_copilot_cache_lru_0019,cid002,medium,functional,功能语义失败,True,False,True,True,0,1,1,0,1,1,0.00,False,agentic_or_passk,较难,assert 0 == 3,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_cache_lru/reports/19.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_cache_lru/reports/19.txt,
cvdp_copilot_caesar_cipher_0001,cid003,easy,functional,功能语义失败,True,False,True,True,3,1,4,3,1,4,0.75,False,semantic_repair_or_passk,中等可补救,assert 'aHsaEqbi' == 'aNsgEqbo',按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_caesar_cipher/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_caesar_cipher/reports/1.txt,
cvdp_copilot_car_parking_management_0015,cid004,medium,compile_elab,编译/展开失败,True,False,True,True,0,4,4,0,4,4,0.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'car_parking_system', '-g2012', '-DSIMULATION=1', '-Pcar_parking_system.TOTAL_SPACES=9', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/car_parking_system.sv']' returned non-zero",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_car_parking_management/reports/15.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_car_parking_management/reports/15.txt,
cvdp_copilot_car_parking_management_0018,cid002,medium,functional,功能语义失败,True,False,True,True,0,4,4,0,4,4,0.00,False,agentic_or_passk,较难,assert Logic('0') == 1,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_car_parking_management/reports/18.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_car_parking_management/reports/18.txt,
cvdp_copilot_cascaded_adder_0025,cid002,medium,compile_elab,编译/展开失败,True,False,True,False,2,0,2,4,0,4,1.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'cascaded_adder', '-g2012', '-Pcascaded_adder.IN_DATA_NS=4', '-Pcascaded_adder.IN_DATA_WIDTH=3', '-Pcascaded_adder.REG=1', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/cascaded",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_cascaded_adder/reports/25_repair_2.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_cascaded_adder/reports/25_repair_2.txt,
cvdp_copilot_coffee_machine_0001,cid016,medium,functional,功能语义失败,True,False,True,True,0,16,16,0,16,16,0.00,False,agentic_or_passk,较难,assert 0 == 1,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_coffee_machine/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_coffee_machine/reports/1.txt,
cvdp_copilot_compression_engine_0001,cid002,easy,functional,功能语义失败,True,False,True,True,0,2,2,0,2,2,0.00,False,agentic_or_passk,较难,assert False,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_compression_engine/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_compression_engine/reports/1.txt,
cvdp_copilot_configurable_digital_low_pass_filter_0004,cid003,medium,functional,功能语义失败,True,False,False,False,14,18,32,21,11,32,0.66,False,semantic_repair_or_passk,中等可补救,"assert [0, 0, 0, 0, 0, 0, ...] == [15749, -7297, -24834, 15852, -6859, 28026, ...]",按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_configurable_digital_low_pass_filter/reports/4_repair_2.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_configurable_digital_low_pass_filter/reports/4_repair_2.txt,
cvdp_copilot_configurable_digital_low_pass_filter_0014,cid003,easy,functional,功能语义失败,True,False,True,True,0,35,35,0,35,35,0.00,False,agentic_or_passk,较难,assert 1 == 0,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_configurable_digital_low_pass_filter/reports/14.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_configurable_digital_low_pass_filter/reports/14.txt,
cvdp_copilot_cont_adder_0042,cid007,easy,functional,功能语义失败,True,False,True,True,8,1,9,8,1,9,0.89,False,near_miss_repair,高可补救,"assert subprocess.run(cmd, shell=True).returncode == 0, ""Linting return errors.""",按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_cont_adder/reports/42_lint.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_cont_adder/reports/42_lint.txt,
cvdp_copilot_decoder_8b10b_0001,cid002,easy,functional,功能语义失败,True,False,True,True,1,4,5,1,4,5,0.20,False,semantic_repair_or_passk,中等可补救,assert '00000000' == '10011100',按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_decoder_8b10b/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_decoder_8b10b/reports/1.txt,
cvdp_copilot_digital_stopwatch_0001,cid003,easy,functional,功能语义失败,True,False,True,True,0,3,3,0,3,3,0.00,False,agentic_or_passk,较难,assert 10 == 9,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_digital_stopwatch/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_digital_stopwatch/reports/1.txt,
